doctor_id,first_name,last_name,specialty,phone,email,created_at
1,Edward,Jones,Neurology,123-555-2181,doctor1@hospital.com,2025-02-26T19:36:18.000-06:00
2,Bob,Martinez,Urology,123-555-6279,doctor2@hospital.com,2025-02-26T19:36:18.000-06:00
3,Fiona,Garcia,Cardiology,123-555-7385,doctor3@hospital.com,2025-02-26T19:36:18.000-06:00
4,Bob,Smith,Cardiology,123-555-9265,doctor4@hospital.com,2025-02-26T19:36:18.000-06:00
5,Diana,Johnson,Dermatology,123-555-1598,doctor5@hospital.com,2025-02-26T19:36:18.000-06:00
6,Edward,Miller,Urology,123-555-5864,doctor6@hospital.com,2025-02-26T19:36:18.000-06:00
7,Fiona,Rodriguez,Orthopedics,123-555-4355,doctor7@hospital.com,2025-02-26T19:36:18.000-06:00
8,John,Smith,Psychiatry,123-555-3735,doctor8@hospital.com,2025-02-26T19:36:18.000-06:00
9,George,Williams,Cardiology,123-555-9728,doctor9@hospital.com,2025-02-26T19:36:18.000-06:00
10,John,Martinez,Neurology,123-555-5878,doctor10@hospital.com,2025-02-26T19:36:18.000-06:00
11,Edward,Smith,Pediatrics,123-555-1610,doctor11@hospital.com,2025-02-26T19:36:18.000-06:00
12,John,Davis,Cardiology,123-555-7898,doctor12@hospital.com,2025-02-26T19:36:18.000-06:00
13,George,Rodriguez,Pediatrics,123-555-1843,doctor13@hospital.com,2025-02-26T19:36:18.000-06:00
14,Diana,Williams,Radiology,123-555-1962,doctor14@hospital.com,2025-02-26T19:36:18.000-06:00
15,Bob,Johnson,Radiology,123-555-8345,doctor15@hospital.com,2025-02-26T19:36:18.000-06:00
16,John,Jones,Radiology,123-555-4209,doctor16@hospital.com,2025-02-26T19:36:18.000-06:00
17,Fiona,Brown,Dermatology,123-555-4988,doctor17@hospital.com,2025-02-26T19:36:18.000-06:00
18,George,Martinez,Neurology,123-555-7323,doctor18@hospital.com,2025-02-26T19:36:18.000-06:00
19,Alice,Rodriguez,Orthopedics,123-555-1764,doctor19@hospital.com,2025-02-26T19:36:18.000-06:00
20,Bob,Rodriguez,Urology,123-555-5189,doctor20@hospital.com,2025-02-26T19:36:18.000-06:00
21,Diana,Johnson,Radiology,123-555-1646,doctor21@hospital.com,2025-02-26T19:36:18.000-06:00
22,Alice,Jones,Orthopedics,123-555-2167,doctor22@hospital.com,2025-02-26T19:36:18.000-06:00
23,Alice,Rodriguez,Neurology,123-555-3747,doctor23@hospital.com,2025-02-26T19:36:18.000-06:00
24,Bob,Garcia,Psychiatry,123-555-6698,doctor24@hospital.com,2025-02-26T19:36:18.000-06:00
25,Hannah,Miller,Psychiatry,123-555-2352,doctor25@hospital.com,2025-02-26T19:36:18.000-06:00
26,George,Johnson,Orthopedics,123-555-3318,doctor26@hospital.com,2025-02-26T19:36:18.000-06:00
27,John,Johnson,Cardiology,123-555-9154,doctor27@hospital.com,2025-02-26T19:36:18.000-06:00
28,John,Williams,Psychiatry,123-555-3013,doctor28@hospital.com,2025-02-26T19:36:18.000-06:00
29,Alice,Miller,Neurology,123-555-5231,doctor29@hospital.com,2025-02-26T19:36:18.000-06:00
30,Hannah,Rodriguez,Urology,123-555-6020,doctor30@hospital.com,2025-02-26T19:36:18.000-06:00
31,Diana,Davis,Cardiology,123-555-8129,doctor31@hospital.com,2025-02-26T19:36:18.000-06:00
32,Alice,Brown,Radiology,123-555-2494,doctor32@hospital.com,2025-02-26T19:36:18.000-06:00
33,Alice,Garcia,Pediatrics,123-555-6170,doctor33@hospital.com,2025-02-26T19:36:18.000-06:00
34,Edward,Smith,Orthopedics,123-555-3963,doctor34@hospital.com,2025-02-26T19:36:18.000-06:00
35,George,Brown,Dermatology,123-555-4983,doctor35@hospital.com,2025-02-26T19:36:18.000-06:00
36,Hannah,Garcia,Radiology,123-555-6071,doctor36@hospital.com,2025-02-26T19:36:18.000-06:00
37,John,Smith,Cardiology,123-555-3123,doctor37@hospital.com,2025-02-26T19:36:18.000-06:00
38,Diana,Garcia,Pediatrics,123-555-8001,doctor38@hospital.com,2025-02-26T19:36:18.000-06:00
39,Hannah,Davis,Orthopedics,123-555-3524,doctor39@hospital.com,2025-02-26T19:36:18.000-06:00
40,Alice,Jones,Cardiology,123-555-9433,doctor40@hospital.com,2025-02-26T19:36:18.000-06:00
41,George,Brown,Psychiatry,123-555-7209,doctor41@hospital.com,2025-02-26T19:36:18.000-06:00
42,Charlie,Davis,Dermatology,123-555-9739,doctor42@hospital.com,2025-02-26T19:36:18.000-06:00
43,John,Martinez,Cardiology,123-555-1001,doctor43@hospital.com,2025-02-26T19:36:18.000-06:00
44,Charlie,Brown,Psychiatry,123-555-8635,doctor44@hospital.com,2025-02-26T19:36:18.000-06:00
45,Edward,Garcia,Orthopedics,123-555-2967,doctor45@hospital.com,2025-02-26T19:36:18.000-06:00
46,Diana,Johnson,Orthopedics,123-555-6911,doctor46@hospital.com,2025-02-26T19:36:18.000-06:00
47,Jane,Martinez,Cardiology,123-555-1146,doctor47@hospital.com,2025-02-26T19:36:18.000-06:00
48,George,Brown,Cardiology,123-555-8891,doctor48@hospital.com,2025-02-26T19:36:18.000-06:00
49,Jane,Jones,Orthopedics,123-555-3519,doctor49@hospital.com,2025-02-26T19:36:18.000-06:00
50,Alice,Garcia,Cardiology,123-555-7454,doctor50@hospital.com,2025-02-26T19:36:18.000-06:00
